geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
arg,Argentina,60.28,60.55,60.76,61.02,61.19,60.9,61.16,61.62,61.9,61.8,61.85,61.7,61.14,61.71,62.29,61.95,62.23,61.47,60.71,61.06,60.4,60.63,60.5,60.22,59.69,60.02,60.31,60.59,61.39,61.61,55.97
aus,Australia,63.92,63.28,62.98,62.58,63.09,63.68,63.67,63.32,63.22,63.0,63.37,63.56,63.62,63.8,63.65,64.56,64.91,65.37,65.67,65.59,65.6,65.63,65.33,65.1,64.86,65.15,64.99,65.23,65.65,65.93,64.89
bra,Brazil,62.02,62.07,62.51,62.93,63.35,63.77,62.41,63.08,63.28,63.86,64.1,64.33,65.03,65.05,65.74,66.37,65.96,65.65,65.64,65.85,64.73,63.59,64.29,64.17,63.9,64.05,63.79,64.06,64.05,64.46,59.24
can,Canada,66.78,66.26,65.35,64.99,64.78,64.41,64.22,64.42,64.68,65.07,65.27,65.37,66.33,67.06,67.0,66.67,66.58,67.06,67.23,66.78,66.62,66.41,66.25,66.22,65.76,65.61,65.49,65.59,65.26,65.57,63.91
chl,Chile,54.46,54.82,55.32,55.6,55.82,56.23,56.54,56.85,57.02,56.96,56.36,55.62,55.24,55.86,56.64,57.26,58.01,58.66,60.12,59.98,60.42,61.65,61.59,61.71,61.97,62.08,62.02,62.34,62.49,62.36,57.39
chn,China,79.14,79.06,79.01,78.96,78.88,78.76,78.59,78.37,78.09,77.76,77.37,76.66,75.85,75.01,74.22,73.55,72.98,72.53,72.15,71.74,71.26,71.06,70.84,70.59,70.3,69.98,69.61,69.19,68.72,68.24,66.82
cub,Cuba,49.59,49.95,50.35,50.72,51.1,51.35,51.62,51.68,51.63,51.62,51.66,51.65,51.66,51.72,51.8,52.49,53.03,53.96,54.39,55.45,54.99,54.88,54.72,54.54,54.35,54.19,54.01,53.86,53.72,53.52,50.3
deu,Germany,58.25,59.63,59.01,58.33,58.53,58.19,57.96,58.15,58.13,58.32,58.06,57.96,57.85,57.9,57.59,58.45,58.84,59.19,59.21,59.35,59.43,60.0,59.94,60.24,60.24,60.08,60.32,60.51,60.83,61.25,60.57
egy,Egypt,46.63,46.7,46.67,46.69,47.65,46.48,45.96,45.42,44.86,46.35,46.12,45.62,45.13,45.63,46.13,46.62,47.05,48.13,48.0,48.64,49.11,48.81,49.15,49.61,49.59,47.92,47.7,46.39,44.93,44.83,43.0
gbr,UK,62.62,62.19,61.74,61.19,61.0,60.82,60.87,61.04,60.94,61.25,61.44,60.99,61.25,61.37,61.42,61.76,62.09,61.94,62.21,62.05,61.87,61.79,62.04,62.21,62.31,62.37,62.51,62.51,62.75,62.97,62.78
ind,India,58.44,58.39,58.37,58.37,58.38,58.26,58.11,57.96,57.81,57.67,57.54,57.64,57.76,57.89,58.02,58.18,57.33,56.52,55.73,54.97,54.21,53.29,52.4,51.9,51.4,50.91,50.41,49.91,49.42,49.34,46.29
jpn,Japan,63.42,63.92,64.21,64.04,63.82,63.62,63.7,63.89,63.56,63.05,62.59,62.24,61.55,61.17,60.71,60.61,60.53,60.7,60.58,60.37,60.08,59.59,59.28,59.61,59.82,59.99,60.45,60.87,61.88,62.36,62.34
kor,South Korea,60.01,60.33,60.5,60.46,61.22,61.65,62.03,62.54,60.71,60.65,61.15,61.31,61.89,61.44,62.23,62.14,62.04,61.96,61.43,60.67,60.79,60.98,61.24,61.36,62.38,62.7,62.8,63.13,63.02,63.26,62.6
mex,Mexico,58.53,58.69,59.32,60.0,59.83,59.63,59.65,61.07,60.85,60.09,59.91,59.29,58.85,59.19,59.73,60.58,61.3,61.37,61.05,60.94,60.72,60.75,61.43,61.24,60.64,60.76,60.67,60.48,60.7,61.42,56.45
nga,Nigeria,61.2,61.11,60.92,60.83,60.73,60.6,60.46,60.34,60.24,60.19,60.09,60.06,59.87,59.84,59.78,59.79,59.85,59.9,59.94,59.93,59.91,59.95,57.52,55.1,54.55,53.91,53.19,54.14,55.04,55.87,53.43
rus,Russia,66.51,66.15,65.89,64.03,62.04,61.43,60.34,58.91,58.0,61.15,61.17,59.9,60.46,60.11,60.51,60.9,61.16,62.0,62.44,62.47,62.44,62.69,62.69,62.59,62.63,62.63,62.77,62.33,62.25,61.49,61.12
swe,Sweden,67.52,66.98,65.46,63.82,63.2,63.7,63.56,63.1,62.8,62.99,62.37,62.6,62.49,62.53,62.34,62.87,63.29,63.63,63.79,63.29,63.13,63.4,63.46,63.89,63.98,64.0,64.07,64.32,64.39,64.43,64.22
usa,USA,65.44,65.06,65.33,65.23,65.68,65.83,66.0,66.33,66.3,66.36,66.42,66.05,65.7,65.3,65.02,65.04,65.15,64.97,64.97,64.31,63.57,63.0,63.05,62.5,62.2,62.01,62.16,62.29,62.31,62.57,61.41
zaf,South Africa,56.52,56.47,56.46,56.38,56.25,56.09,55.9,55.73,55.61,55.48,55.36,55.26,55.16,55.12,55.11,55.16,55.21,55.33,55.55,53.94,52.48,52.54,53.04,53.73,54.05,55.38,55.52,56.18,55.99,56.08,51.49
che,Switzerland,68.39,68.39,68.26,68.2,67.3,67.07,67.57,67.41,67.93,67.91,67.41,67.79,67.74,67.83,67.29,67.03,67.42,67.72,68.24,68.28,66.95,67.46,67.53,67.56,67.97,68.21,68.57,68.38,68.38,68.07,67.52
